g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	p(6)	
0	10	0.200301	74.4929	159.724	9.67121	66274.4	973.755	779836	7400.07
0	8	0.757327	192.589	4082.34	0.510329	6018.3	969.182	338026	1767.57
0	3	2.27699	85.9449	7733.2	0.965721	35196.1	45.9457	432226	9084.24
0	1	5.47084	227.32	2467.89	4.26008	50929.1	737.647	605090	6802.63
0	2	15.8849	274.775	9110.41	2.6563	35531.6	101.362	712338	8036.66
0	7	18.5019	96.1053	4901.5	7.9666	92955.4	119.442	606482	9959.69
0	5	21.6361	285.445	4988.32	7.03094	61645.9	377.683	404139	6981.75
0	6	27.8583	170.057	7856.77	9.05004	71272.1	81.5749	212783	1431.79
0	4	28.5527	176.152	7066.28	8.88177	40663.7	248.937	45954.9	3440.08
0	9	29.1074	289.5	7302.2	7.44349	94608.3	808.089	831109	9004.23
1	10	0.200301	67.0436	175.697	9.16448	59646.9	876.38	701852	8140.08
1	8	0.757327	192.589	4082.34	0.510329	6018.3	969.182	338026	1767.57
1	22	1.5537	191.825	6997.3	0.51437	6062.01	251.084	338814	1760.75
1	27	1.91783	86.5548	966.451	0.973392	66413.5	45.664	430692	9037.68
1	3	2.27699	85.9449	7733.2	0.965721	35196.1	45.9457	432226	9084.24
1	23	3.01779	276.999	342.351	2.64295	5996.79	966.973	711742	1784.45
1	1	5.47084	227.32	2467.89	4.26008	50929.1	737.647	605090	6802.63
1	25	5.64198	272.308	2445.96	4.29827	35181.6	742.192	610722	8099.75
1	29	10.3546	177.676	2463.85	8.9234	51260.5	742.455	46180.9	6827.22
1	24	13.9798	229.511	2482.54	9.73351	66762.7	967.261	787607	6862.34
2	31	0.197658	86.0121	340.133	9.29346	59963.1	966.977	711645	9019.69
2	10	0.200301	67.0436	175.697	9.16448	59646.9	876.38	701852	8140.08
2	32	0.36411	114.846	4058.64	0.51522	6087.42	968.303	341983	1775.9
2	8	0.757327	192.589	4082.34	0.510329	6018.3	969.182	338026	1767.57
2	35	1.10671	86.3636	971.777	0.966532	50449.6	45.8989	428523	6784.27
2	22	1.5537	191.825	6997.3	0.51437	6062.01	251.084	338814	1760.75
2	38	1.60501	270.177	974.502	4.25731	51018.2	784.369	434137	6815.31
2	27	1.91783	86.5548	966.451	0.973392	66413.5	45.664	430692	9037.68
2	3	2.27699	85.9449	7733.2	0.965721	35196.1	45.9457	432226	9084.24
2	23	3.01779	276.999	342.351	2.64295	5996.79	966.973	711742	1784.45
3	41	0.0535482	66.3769	176.48	9.19044	59265.5	334.057	428941	8954.43
3	31	0.197658	77.4109	306.119	10	53966.8	870.279	640481	8117.72
3	10	0.200301	67.0436	175.697	9.16448	59646.9	876.38	701852	8140.08
3	46	0.341009	115.339	2360.29	0.511346	59369.3	957.562	343939	1788.96
3	32	0.36411	114.846	4058.64	0.51522	6087.42	968.303	341983	1775.9
3	48	0.478982	86.9648	176.438	0.973575	66321.6	874.971	432761	6765.15
3	49	0.525495	86.4193	965.364	0.969734	35310.2	46.0256	432223	8997.02
3	42	0.530377	85.6847	961.645	0.980701	35207.2	46.3718	428209	3318.78
3	8	0.757327	192.589	4082.34	0.510329	6018.3	969.182	338026	1767.57
3	35	1.10671	86.3636	971.777	0.966532	50449.6	45.8989	428523	6784.27
4	52	0.0531784	66.5531	175.977	9.21422	58743.9	333.091	431650	8100.68
4	53	0.0534545	65.8849	176.707	9.26955	59490.7	334.865	428793	8930.98
4	41	0.0535482	73.0146	194.128	8.27139	53338.9	300.652	386047	8058.99
4	57	0.0671791	67.0581	177.579	9.1096	60040.4	332.958	701537	9024.12
4	55	0.0805511	87.0566	963.164	0.963646	6051.45	46.2066	340358	1780.29
4	31	0.197658	77.4109	306.119	10	53966.8	870.279	640481	8117.72
4	10	0.200301	67.0436	175.697	9.16448	59646.9	876.38	701852	8140.08
4	60	0.216123	87.6049	969.161	0.970387	77574.6	871.46	432071	6727.85
4	58	0.285729	86.9586	177.753	0.975321	78766.6	872.769	645228	6736.51
4	46	0.341009	115.339	2360.29	0.511346	59369.3	957.562	343939	1788.96
5	52	0.0531784	62.2114	193.575	8.2928	52869.5	299.782	388485	7290.61
5	53	0.0534545	65.8849	176.707	9.26955	59490.7	334.865	428793	8930.98
5	41	0.0535482	73.0146	194.128	8.27139	53338.9	300.652	386047	8058.99
5	62	0.0544801	67.4795	177.873	9.19283	59284.3	337.344	427341	8990.97
5	57	0.0671791	67.0581	177.579	9.1096	60040.4	332.958	701537	9024.12
5	68	0.0765114	66.6788	174.153	9.1053	60119.9	331.757	698178	8059.9
5	55	0.0805511	87.0566	963.164	0.963646	6051.45	46.2066	340358	1780.29
5	61	0.177593	77.8074	304.568	9.99194	59418.1	873.919	641480	8144.67
5	70	0.17805	77.1567	306.21	10	54187.6	877.197	644821	8129.8
5	31	0.197658	77.4109	306.119	10	53966.8	870.279	640481	8117.72
6	52	0.0470328	68.4325	212.932	7.46352	47582.6	269.803	349636	6561.55
6	77	0.051728	65.278	176.422	9.28083	59910.4	331.571	429849	8853.07
6	53	0.0534545	65.8849	176.707	9.26955	59490.7	334.865	428793	8930.98
6	41	0.0535482	73.0146	194.128	8.27139	53338.9	300.652	386047	8058.99
6	62	0.0544801	67.4795	177.873	9.19283	59284.3	337.344	427341	8990.97
6	75	0.0546187	67.0749	173.34	9.0631	59923.4	336.858	424906	8947.38
6	57	0.0671791	67.0581	177.579	9.1096	60040.4	332.958	701537	9024.12
6	72	0.0699461	78.514	195.133	8.21495	53065.4	298.343	647330	8146.79
6	68	0.0765114	66.6788	174.153	9.1053	60119.9	331.757	698178	8059.9
6	76	0.0789292	66.2	173.771	9.31409	60417	335.568	703252	8025.23
7	52	0.0402933	75.2757	234.226	6.71717	42824.3	242.823	314673	5905.39
7	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
7	83	0.051727	65.6268	175.332	9.19736	59495.1	329.75	450343	8100.84
7	77	0.051728	65.278	176.422	9.28083	59910.4	331.571	429849	8853.07
7	53	0.0534545	65.8849	176.707	9.26955	59490.7	334.865	428793	8930.98
7	41	0.0535482	73.0146	194.128	8.27139	53338.9	300.652	386047	8058.99
7	90	0.0535959	66.2736	177.163	9.17972	59699.6	336.998	424828	8120.45
7	62	0.0544801	67.4795	177.873	9.19283	59284.3	337.344	427341	8990.97
7	75	0.0546187	67.0749	173.34	9.0631	59923.4	336.858	424906	8947.38
7	86	0.0548803	69.1156	173.21	9.37434	47457.4	270.278	701849	8018.8
8	52	0.035045	67.7482	257.648	6.04545	38541.9	218.541	298355	5314.85
8	82	0.0428419	67.0333	196.677	8.2052	56934.3	298.745	423969	9024.34
8	100	0.0443958	68.7975	172.154	9.32464	47213.1	271.743	439876	8025.72
8	97	0.0456897	65.1332	192.9	5.76029	59030.8	298.049	450894	8156.46
8	95	0.0462771	65.8563	192.706	8.19717	53340.9	300.162	421344	8043.82
8	93	0.0467578	72.9213	193.632	6.7779	42647.7	244.464	311681	5931.45
8	83	0.051727	65.6268	175.332	9.19736	59495.1	329.75	450343	8100.84
8	77	0.051728	65.278	176.422	9.28083	59910.4	331.571	429849	8853.07
8	99	0.0528941	65.8862	176.362	9.07674	59894.5	333.63	422860	8861.01
8	53	0.0534545	65.8849	176.707	9.26955	59490.7	334.865	428793	8930.98
9	52	0.0342501	74.523	283.413	5.4409	34687.7	196.687	268519	4783.37
